river country province
Oka R Moskovskaya
Oka R Orlovskaya
Oka R Ryazanskaya
Oka R Tulskaya
Oka R "Nizhnii Novgorodskaya"
Moskva R Moscow
Moskva R Moskovskaya
Moskva R Smolenskaya
Kama R Kirovskaya
Kama R Tatarstan
Kama R Bashkortostan
Kama R Udmurtskaya
Kama R Permskij
Belaya R Kaliningradskaya
Belaya R Tatarstan
Ural R Bashkortostan
Ural R Orenburgskaya
Ural R Chelyabinskaya
Ural KZ Atyrau
Ural KZ "West Kazakhstan"
Ob R Altayskiy
Ob R Novosibirskaya
Ob R Tomskaya
Ob R Tyumenskaya
Ob R "Khanty Mansi ao"
Ob R "Yamalo Nenets ao"
Irtysch R Omskaya
Irtysch R Tyumenskaya
Irtysch R "Khanty Mansi ao"
Irtysch KZ Pavlodar
Irtysch KZ East-Kazakhstan
Irtysch CN Xinjiang
Tobol R Orenburgskaya
Tobol R Kurganskaya
Tobol R Tyumenskaya
Tobol KZ Kostanai
Ischim R Omskaya
Ischim R Tyumenskaya
Ischim KZ Akmola
Ischim KZ Karaganda
Ischim KZ North-Kazakhstan
Ischim KZ Astana
Katun R Altay
Katun R Altayskiy
Tom R Kemerovskaya
Tom R Tomskaya
Tom R Khakasiya
Jenissej R Tyva
Jenissej R Khakasiya
Jenissej R Krasnoyarsk
Angara R Buryatiya
Angara R Krasnoyarsk
Angara R Irkutskaya
Selenge R Buryatiya
Selenge MNG Mongolia
"Egiin Gol" MNG Mongolia
Orchon MNG Mongolia
Tuul MNG Mongolia
Taimyra R Krasnoyarsk
Chatanga R Krasnoyarsk
Lena R Irkutskaya
Lena R Sakha
Kolyma R Sakha
Kolyma R Magadanskaya
Amur R Zabaykalskiy
Amur R "Jewish Autonomous Oblast"
Amur R Khabarovskiy
Amur R Amurskaya
Amur CN Heilongjiang
Schilka R Zabaykalskiy
Ingoda R Zabaykalskiy
Onon R Zabaykalskiy
Onon MNG Mongolia
Argun R Zabaykalskiy
Argun CN "Nei Mongol"
Songhua CN Heilongjiang
Songhua CN Jilin
Sungacha R Primorskiy
Sungacha CN Heilongjiang
Ussuri R Primorskiy
Ussuri R Khabarovskiy
Ussuri CN Heilongjiang
Kherlen MNG Mongolia
Kherlen CN "Nei Mongol"
Syrdarja UZ Namangan
Syrdarja UZ Toshkent
Syrdarja TJ Sughd
Syrdarja KZ South-Kazakhstan
Syrdarja KZ Kyzylorda
Syrdarja KZ Baikonur
Naryn UZ Toshkent
Naryn KG Kyrgyzstan
Amudarja AFG Afghanistan
Amudarja TM Dashhowuz
Amudarja TM Lebap
Amudarja UZ Samarqand
Amudarja UZ Qoraqalpogʻiston
Amudarja TJ Khatlon
Pjandsh AFG Afghanistan
Pjandsh TJ Khatlon
Pjandsh TJ Gorno-Badakhshan
Bartang TJ Gorno-Badakhshan
Murgab AFG Afghanistan
Murgab TJ Gorno-Badakhshan
Ili KZ Almaty
Ili CN Xinjiang
Tarim-Yarkend CN Xinjiang
Tarim-Yarkend CN Xizang
Tumen R Primorskiy
Tumen CN Jilin
Tumen KP "North Korea"
Yalu CN Jilin
Yalu CN Liaoning
Yalu KP "North Korea"
Nakdonggang ROK "South Korea"
Namhangang ROK "South Korea"
Bukhangang KP "North Korea"
Bukhangang ROK "South Korea"
Ishikari J Hokkaido
Shinano J Gumma
Shinano J Niigata
Shinano J Nagano
Tone J Ibaraki
Tone J Gumma
Tone J Saitama
Tone J Chiba
Kitakami J Iwate
Kitakami J Miyagi
Yodo J Shiga
Yodo J Kyoto
Yodo J Osaka
Kushiro J Hokkaido
"Liao He" CN Jilin
"Liao He" CN Liaoning
"Liao He" CN "Nei Mongol"
Hwangho CN Gansu
Hwangho CN Henan
Hwangho CN Qinghai
Hwangho CN Shaanxi
Hwangho CN Shandong
Hwangho CN "Nei Mongol"
Hwangho CN Ningxia
"Wei He" CN Gansu
"Wei He" CN Shaanxi
Huai CN Anhui
Huai CN Henan
Huai CN Jiangsu
Yangtze CN Anhui
Yangtze CN Hubei
Yangtze CN Hunan
Yangtze CN Jiangsu
Yangtze CN Jiangxi
Yangtze CN Qinghai
Yangtze CN Sichuan
Yangtze CN Yunnan
Yangtze CN Xizang
Yangtze CN Shanghai
Yangtze CN Chongqing
Han CN Hubei
Han CN Shaanxi
"Gan Jiang" CN Jiangxi
"Xiang Jiang" CN Hunan
"Xiang Jiang" CN Guangxi
"Yuan Jiang" CN Guizhou
"Yuan Jiang" CN Hunan
"Pearl River" CN Guangdong
"Pearl River" HK "Hong Kong"
"Pearl River" MACX Macao
"Dong Jiang" CN Guangdong
"Bei Jiang" CN Guangdong
"Xi Jiang" CN Guangdong
"Xi Jiang" CN Yunnan
"Xi Jiang" CN Guangxi
"Hong He" CN Yunnan
"Hong He" VN "Northern Midlands and Mountains"
"Hong He" VN "Red River Delta"
Mekong MYA Shan
Mekong CN Qinghai
Mekong CN Yunnan
Mekong CN Xizang
Mekong VN "Mekong River Delta"
Mekong K Cambodia
Mekong LAO Laos
Mekong THA Thailand
"Tonle Sap River" K Cambodia
"Mae Nam Chao Phraya" THA Thailand
"Mae Nam Ping" THA Thailand
"Mae Nam Nan" THA Thailand
Saluen MYA Kayin
Saluen MYA Kayah
Saluen MYA Mon
Saluen MYA Shan
Saluen CN Yunnan
Saluen CN Xizang
Irawaddy MYA Ayeyarwady
Irawaddy MYA Magwe
Irawaddy MYA Mandalay
Irawaddy MYA Bago
Irawaddy MYA Sagaing
Irawaddy MYA Kachin
Irawaddy CN Yunnan
Irawaddy CN Xizang
Ganges IND Bihar
Ganges IND "Uttar Pradesh"
Ganges IND "West Bengal"
Ganges IND Jharkhand
Ganges IND Uttarakhand
Ganges BD Barisal
Ganges BD Chittagong
Ganges BD Dhaka
Ganges BD Khulna
Ganges BD Rajshahi
Ghaghara IND Bihar
Ghaghara IND "Uttar Pradesh"
Ghaghara NEP Nepal
Ghaghara CN Xizang
Gandaki IND Bihar
Gandaki IND "Uttar Pradesh"
Gandaki NEP Nepal
"Kali Gandaki" NEP Nepal
Trishuli NEP Nepal
Trishuli CN Xizang
Koshi IND Bihar
Koshi NEP Nepal
Sunkoshi NEP Nepal
Sunkoshi CN Xizang
Arun NEP Nepal
Arun CN Xizang
Yamuna IND Haryana
Yamuna IND "Himachal Pradesh"
Yamuna IND "Uttar Pradesh"
Yamuna IND Delhi
Yamuna IND Uttarakhand
Chambal IND "Madhya Pradesh"
Chambal IND Rajasthan
Chambal IND "Uttar Pradesh"
Brahmaputra IND "Arunachal Pradesh"
Brahmaputra IND Assam
Brahmaputra BD Dhaka
Brahmaputra BD Rajshahi
Brahmaputra BD Rangpur
Brahmaputra BD Mymensingh
Brahmaputra CN Xizang
Tista IND Sikkim
Tista IND "West Bengal"
Tista BD Rangpur
Godavari IND "Andhra Pradesh"
Godavari IND Maharashtra
Godavari IND Telangana
Krishna IND "Andhra Pradesh"
Krishna IND Karnataka
Krishna IND Maharashtra
Krishna IND Telangana
Narmada IND Gujarat
Narmada IND "Madhya Pradesh"
Narmada IND Maharashtra
Indus PK Gilgit-Baltistan
Indus PK "Khyber Pakhtunkhwa"
Indus PK Punjab
Indus PK Sindh
Indus IND "Jammu and Kashmir"
Indus CN Xizang
Panjnad PK Punjab
Satluj PK Punjab
Satluj IND "Himachal Pradesh"
Satluj IND Punjab
Satluj CN Xizang
Chanab PK Punjab
Chanab IND "Himachal Pradesh"
Chanab IND "Jammu and Kashmir"
Jhelum PK "Azad Jammu and Kashmir"
Jhelum PK Punjab
Jhelum IND "Jammu and Kashmir"
Ravi PK Punjab
Ravi IND "Himachal Pradesh"
Ravi IND "Jammu and Kashmir"
Ravi IND Punjab
Asahan RI "Sumatera Utara"
"Batang Hari" RI "Sumatera Barat"
"Batang Hari" RI Jambi
Rajang MAL Sarawak
Kapuas RI "Kalimantan Barat"
Mahakam RI "Kalimantan Timur"
Mahakam RI "Kalimantan Utara"
Barito RI "Kalimantan Selatan"
"Pansipit River" RP Calabarzon
"Pasig River" RP "Metro Manila"
"Agus River" RP "Northern Mindanao"
"Agus River" RP "Muslim Mindanao"
Sepik RI Papua
Sepik PNG North
"Fly River" RI Papua
"Fly River" PNG South
"Ruggles River" CDN Nunavut
"Koukdjuak River" CDN Nunavut
"Yukon River" CDN Yukon
"Yukon River" USA Alaska
"Fraser River" CDN "British Columbia"
"Mackenzie River" CDN "Northwest Territories"
"Great Bear River" CDN "Northwest Territories"
"Slave River" CDN Alberta
"Slave River" CDN "Northwest Territories"
"Athabasca River" CDN Alberta
"Peace River" CDN Alberta
"Peace River" CDN "British Columbia"
"Liard River" CDN "British Columbia"
"Liard River" CDN "Northwest Territories"
"Liard River" CDN Yukon
"Nelson River" CDN Manitoba
"Saskatchewan River" CDN Manitoba
"Saskatchewan River" CDN Saskatchewan
"North Saskatchewan River" CDN Alberta
"North Saskatchewan River" CDN Saskatchewan
"South Saskatchewan River" CDN Alberta
"South Saskatchewan River" CDN Saskatchewan
"Red River of the North" CDN Manitoba
"Red River of the North" USA Minnesota
"Red River of the North" USA "North Dakota"
"Saint Lawrence River" CDN Quebec
"Saint Lawrence River" USA "New York"
"Ottawa River" CDN Ontario
"Ottawa River" CDN Quebec
"Niagara River" CDN Ontario
"Niagara River" USA "New York"
"Detroit River" CDN Ontario
"Detroit River" USA Michigan
"Saint Marys River" CDN Ontario
"Saint Marys River" USA Michigan
"Manitou River" CDN Ontario
"Mindemoya River" CDN Ontario
"Straits of Mackinac" USA Michigan
"Nipigon River" CDN Ontario
"Manicouagan River" CDN Quebec
"Riviere Richelieu" CDN Quebec
"Merrimack River" USA Massachusetts
"Merrimack River" USA "New Hampshire"
"Connecticut River" USA Connecticut
"Connecticut River" USA Massachusetts
"Connecticut River" USA "New Hampshire"
"Connecticut River" USA Vermont
"Hudson River" USA "New Jersey"
"Hudson River" USA "New York"
"Delaware River" USA Delaware
"Delaware River" USA "New Jersey"
"Delaware River" USA "New York"
"Delaware River" USA Pennsylvania
"Susquehanna River" USA Maryland
"Susquehanna River" USA "New York"
"Susquehanna River" USA Pennsylvania
"Potomac River" USA Maryland
"Potomac River" USA Virginia
"Potomac River" USA "West Virginia"
"Potomac River" USA "District of Columbia"
"Caloosahatchee River" USA Florida
Mississippi USA Arkansas
Mississippi USA Illinois
Mississippi USA Iowa
Mississippi USA Kentucky
Mississippi USA Louisiana
Mississippi USA Minnesota
Mississippi USA Mississippi
